Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Borning: Más rápido, más peligroso;Blu-Ray;Sencilla;1;Hallvard Braein;2016;Acción. Comedia | Coches/Automovilismo. Secuela;a contracorriente. Filmkameratene A/S. Noruega. AC0621;Caja 2, debajo cama (2)
Borg McEnroe. La película;Blu-Ray;Sencilla;1;Janus Metz Pedersen;2017;Drama | Basado en hechos reales. Deporte. Tenis.;a contracorriente. Co-production Suecia-Dinamarca-Finlandia. AC0746;Caja 2, debajo cama (2)
El pico;Blu-Ray;Sencilla;1;Eloy de la Iglesia;1983;Drama | Drogas. Adolescencia. Cine quinqui.;Divisa. Ópalo Films. Mercury Films. Amaray sencillo con dos discos para las dos peliculas. Edición 2019;
El pico 2;Blu-Ray;Sencilla;1;Eloy de la Iglesia;1984;Drama | Drogas. Secuela. Cine quinqui;Divisa. Ópalo Films. Mercury Films. Amaray sencillo con dos discos para las dos peliculas. Edición 2019;
La Historia del mundo;Blu-Ray;Sencilla;2;Neil Rawles, Guy Smith, Renny Bartlett;2012;Serie de TV. Documental | Documental sobre Historia;Divisa. BBC, Discovery UK, The Open University. 2 BR con: 1. Supervivencia, 2. La edad de los imperios, 3. La palabra y la espada, 4. Hacia la luz, 5. Conquista y expolio, 6. Revolución, 7. La era industrial, 8. La edad de los extremos;
¿Quién engañó a Roger Rabbit?;Blu-Ray;Sencilla;1;Robert Zemeckis;1988;Animación. Comedia. Infantil. Aventuras | Neo-noir.;Divisa. Amblin entertainment. Touchstone Pictures. No se puede exportar ni redistribuir sin la autorización de Walt Disney Company. DVBSY;
A War (Una guerra);Blu-Ray;Sencilla;1;Tobias Lindholm;2015;Drama. Bélico | Ejército. Guerra de Afganistán. Familia;Karma Films. A BOR DAR. Nordisk Film Production, Radio (DR), Det Danske Filminstitut, Nordisk Film, Studio Canal;
El último concierto;Blu-Ray;Sencilla;1;Yaron Zilberman;2012;Drama | Música. Enfermedad. Amistad;Emon. Savor. RKO Pictures, Concept Entertainment, Unison Films. Incluye audio catalán;
George Harrison: Living in the Material World;Blu-Ray;Sencilla;1;Martin Scorsese;2011;Documental | Documental sobre música. Biográfico;Avalon. Editado y distribuido por Cameo. Grove Street Productions, Sikelia Productions, Spitfire Pictures;
La chispa de la vida;Blu-Ray;Sencilla;1;Álex de la Iglesia;2011;Drama. Comedia | Comedia dramática. Comedia negra.;Paramount. Double Nickel Entertainment, Trivisión S.L;
15:17 Tren a París;Blu-Ray;Sencilla;1;Clint Eastwood;2018;Acción. Drama | Basado en hechos reales. Terrorismo.;Distribuida en España por Twentieth Century Fox. Malpaso Productions, Village Roadshow , Warner Bros.;
The Prince;Blu-Ray;Sencilla;1;Brian A. Miller;2014;Thriller. Acción | Secuestros / Desapariciones.;Inopia Films. Distribuido por Divisa. Grindstone Entertainment Group, EFO Films, Aperture Entertainment. Incluye  audio catalán;
Bat 21;Blu-Ray;Sencilla;1;Peter Markle;1988;Bélico | Guerra de Vietnam. Basado en hechos reales;Ref. TS522. TriStar Pictures, Vision PDG;Caja 1, debajo cama (2)
Metrópolis;Blu-Ray;Digibook;2;Fritz Lang;1927;Ciencia ficción. Drama | Distopía. Steampunk.;Divisa Home Video. U.F.A. Incluye BR de extras y libro de 64 páginas. Colección origenes del cine;
Medianoche en París;Blu-Ray/DVD;Digibook;2;Woody Allen;2011;Comedia. Romance. Fantástico. Comedia romántica.;"Cameo. Co-production Estados Unidos-España-Francia; Gravier Productions, Mediapro, Pontchartrain Productions, Televisión de Galicia (TVG), Versátil Cinema Incluye audio catalán. Peli en BR y DVD";
The Skull Man;DVD;Sencilla con funda cartón;3;Takeshi Mori, Hirokazu Yamada;2007;Serie de TV. Animación. Intriga. Terror. Fantástico;Selecta Visión. Serie de TV (2007). 13 episodios. Distribuido por Sony. BONES, Geneon Entertainment Inc. Yomiko, Ishimori Entertainment Inc, Toyokasei Co. Ltd. Funda cartón con 3 DVD slims;
Fate/stay night;DVD;Digipack;3;Yuji Yamaguchi, Kousuke Kobayashi;2005;Serie de TV. Animación. Drama. Acción. Fantástico.;Savor. Anime Project. Digipack sin funda con 3 DVD con episodios del 13 al 24. Box 2;
Fate/stay night;DVD;Steelbook;2;Yuji Yamaguchi, Kousuke Kobayashi;2005;Serie de TV. Animación. Drama. Acción. Fantástico.;Savor. Anime Project. Steelbook con pegatina. 4 capitulos (21-24). Vol. 6;
Fast & Furious: Hobbs & Shaw;Blu-Ray/DVD;Steelbook;2;David Leitch;2019;Acción. Ciencia ficción | Buddy Film. Familia.;"Distribuido por Sony. Co-production Estados Unidos-Reino Unido; Universal Pictures. Incluye DVD de extras";
Excel Saga;DVD;Sencilla;1;Shinichi Watanabe, Akihiko Nishiyama;1999;Serie de TV. Animación. Comedia. Ciencia ficción;Selecta Visión. DVD Manga. Misiones 1 a 3. Edición 2004;
Millennium;Blu-Ray;Sencilla;6;Niels Arden Oplev, Daniel Alfredson;2010;Serie de TV. Thriller. Intriga. Acción ;Emon. Vértigo. Yellow Bird Films. Más de 9 horas. 6 discos en seis amarays en funda de cartón azul brillante;
Mulan;Blu-Ray;Steelbook;1;Niki Caro;2020;Aventuras. Acción. Bélico. Drama;Walt Disney Pictures, Jason T. Reed Productions, Good Fear Content (Distribuidora: Walt Disney Pictures). Cartón exterior con cajón donde guardar el SteelBook;
Stuber Express;Blu-Ray;Sencilla;1;Michael Dowse;2019;Comedia. Acción | Buddy Film;20th Century Fox;
La milla verde;Blu-Ray;Sencilla;1;Frank Darabont;1999;Drama. Fantástico | Drama carcelario. Sobrenatural.;Distribuida en España por The Walt Disney Company. Warner Bros., Castle Rock Entertainment. Amary azul reciclable;Caja 3, debajo cama (1)
Sin Rodeos;Blu-Ray;Sencilla;1;Santiago Segura;2018;Comedia | Remake;a contracorriente. Europa Distribution. Atresmedia Cine, Bowfinger, Movistar+. Slip-Cover. Tapa con imanes y ruleta.;
Steins Gate the Movie: Load Region of Déjà vu;Blu-Ray/DVD;Coleccionista;2;Kanji Wakabayashi;2013;Animación. Ciencia ficción. Thriller. Drama;Selecta Visión. AT-X, Frontier Works, Future Gadget Lab, Kadokawa Pictures, Mages. Incluye 2 libros;
Human Lost;Blu-Ray;Sencilla;1;Fuminori Kizaki;2019;Animación. Ciencia ficción. Acción | Cyberpunk;Selecta Visión. Polygon Pictures (Distribuidora: Funimation, Toho, Netflix). Incluye Audio catalán. (Le cambié el amaray azúl original por uno negro);
El curioso caso de Benjamin Button;Blu-Ray;Sencilla;2;David Fincher;2008;Fantástico. Romance. Drama | Años 80. Años 90;Distribuida por Warner Bros. Paramount Pictures, Warner Bros. The Kennedy/Marshall Company;
Mula;Blu-Ray;Sencilla;1;Clint Eastwood;2018;Drama | Familia. Vejez/Madurez. Drogas.;Imperative Entertainment, Warner Bros., Bron Studios, Malpaso Productions;Caja 3, debajo cama (1)
Philadelphia;Blu-Ray;Sencilla;1;Jonathan Demme;1993;Drama | Enfermedad. SIDA. Homosexualidad;TriStar Pictures, Clinica Estetico Productions;Caja 3, debajo cama (1)
Ran;Blu-Ray;Sencilla;2;Akira Kurosawa;1985;Drama. Bélico | Japón feudal. Siglo XVI. Familia. Cine épico;"Divisa. Studiocanal. Co-production Japón-Francia; Greenwich Film Productions. Incluye DVD de extras. Nueva restauración 4K";Caja 2, debajo cama (2)
La Librería;Blu-Ray/DVD + CD;Digipack;3;Isabel Coixet;2017;Drama | Años 50. Literatura;"a contracorriente. Co-production España-Reino Unido-Alemania; Green Films, Diagonal Televisión. Pelicula en BR y DVD. Incluye CD con la BSO y libreto de 32 págs";
The Beatles: Eight Days a Week - The Touring Years;Blu-Ray;Digipack;2;Ron Howard;2016;Documental | Documental sobre música;a contracorriente. Apple Corps, Imagine Entertainment, White Horse Pictures. Incluye libreto de 64 págs. Incluye audio catalán;
Mimosas;Blu-Ray/DVD;Digipack;2;Oliver Laxe;2016;Drama. Aventuras;Numax. Distribuido por Cameo. Zeitun Films, Rouge International. Incluye diario de rodaje (La debilidad de creer);
Sin Perdón;Blu-Ray;Sencilla;1;Clint Eastwood;1992;Western. Drama | Venganza. Vejez/Madurez;Warner Bros., Malpaso Productions;Caja 3, debajo cama (1)
Independence Day;Blu-Ray;Sencilla;2;Roland Emmerich;1996;Ciencia ficción. Acción | Extraterrestres. Fin del mundo;Distribuida por 20th Century Fox. Centropolis Entertainment. Edición 20 aniversario. Incluye BR de extras. Ed. 2016;Caja 3, debajo cama (1)
The Human Centipede (First Sequence);Blu-Ray;Coleccionista;1;Tom Six;2009;Terror | Gore. Secuestros / Desapariciones. Medicina.;Six Entertainment;
The Human Centipede 2 (Full Sequence);Blu-Ray;Coleccionista;1;Tom Six;2011;Terror | Gore. Secuestros / Desapariciones. Asesinos en serie;"Co-production Países Bajos (Holanda)-Estados Unidos-Reino Unido; Six Entertainment";
The Human Centipede 3 (Final Sequence);Blu-Ray;Coleccionista;1;Tom Six;2015;Terror | Gore. Sátira. Comedia negra. Secuela;"Co-production Países Bajos (Holanda)-Estados Unidos; Six Entertainment";
La isla de los recuerdos y el espejo mágico;DVD;Sencilla;1;Shinsuke Sato;2009;Animación. Fantástico;Selecta Visión. Production I.G, Dentsu Inc, Fuji TV;
Iczer Reborn (Iczer 3);DVD;Sencilla;1;Toshihiro Hirano;1990;Animación. Ciencia ficción. Aventuras | Manga;Selecta Visión. AIC. Serie de 6 Ovas.;
Sakura Wars;DVD;Sencilla;1;Takaaki Ishiyama;1998;Acción. Animación | Mediometraje;Selecta Visión. Animate Film, Bandai Visual, Radix, SEGA. Distribuido por Universal. Serie completa: 4 episodios. D-rights;
Legend of Lemnear;DVD;Sencilla;1;Kinji Yoshimoto;1989;Animación. Fantástico | Mediometraje. Manga;Selecta Visión. Distribuido por Universal. AIC, Soshin Pictures Enterprise. Manga video. Ed. 2005;
Project Zero: Zeorymer;DVD;Sencilla;1;Toshihiro Hirano;1988;Animación. Ciencia ficción | Miniserie de TV;Selecta Visión. ARTMIC Studios, AIC. 4 episodios. Ed. 2004;
Onward;Blu-Ray;Steelbook;2;Dan Scanlon;2020;Animación. Aventuras. Comedia. Fantástico | Magia. Familia;Pixar Animation Studios, Walt Disney Pictures (Distribuidora: Walt Disney Pictures). Incluye BR de extras. Audio catalán. Cartón exterior con cajón donde guardar el SteelBook;
Digimon Tamers (Digimon 3);DVD;Sencilla;1;Yukio Kaizawa;2001;Serie de TV. Animación. Comedia. Aventuras. Infantil;8 episodios. Arait Multimedia. Producido por Toei Animation. DVD fabricado por TMC y distribuido por Arait. 2001;
El samurái sin nombre (Sword of the Stranger);DVD;Coleccionista;2;Masahiro Andô;2007;Animación. Acción. Aventuras | Japón feudal.;Selecta Visión. Distribuido por Paramount. BONES. Slip-Cover. Incluye DVD de extras y audio catalán.;
Shin chan en busca de las bolas perdidas;DVD;Sencilla;1;Keiichi Hara;1997;Animación. Comedia. Infantil | Manga;LUK INTERNATIONAL. Distribuida por Walt Disney. TV Asahi. Audio Catalán. Incluye entrevistas. Portada original (Segunda mano);
Los sueños de Akira Kurosawa;Blu-Ray;Sencilla;1;Akira Kurosawa;1990;Fantástico. Drama | Realismo mágico. Holocausto nuclear.;"Co-production Japón-Estados Unidos; (Distribuidora: Warner Bros.)";
Rescate en Osiris;Blu-Ray;Sencilla;1;Shane Abbess;2016;Ciencia ficción. Aventuras. Acción | Aventura espacial;a contracorriente. Storm Vision Entertainment, Eclectik Vision, Storm Alley Entertainment. AC0680;
Karate Kid, el momento de la verdad;Blu-Ray;Pack Amaray gordo;1;John G. Avildsen;1984;Drama | Deporte. Karate. Artes marciales. Amistad.;Distribuido por Sony. Columbia Pictures, Delphi Films;
Karate Kid II: La historia continúa;Blu-Ray;Pack Amaray gordo;1;John G. Avildsen;1986;Drama | Deporte. Karate. Artes marciales. Secuela;Distribuido por Sony. Columbia Pictures, Delphi V Productions. Colección 5 Películas;
Karate Kid III: El desafío final;Blu-Ray;Pack Amaray gordo;1;John G. Avildsen;1989;Drama | Deporte. Karate. Artes marciales. Secuela;Distribuido por Sony. Columbia Pictures, Jerry Weintraub Productions. Colección 5 Películas;
El nuevo Karate Kid;Blu-Ray;Pack Amaray gordo;1;Christopher Cain;1994;Drama. Acción | Deporte. Karate. Artes marciales;Distribuido por Sony. Columbia Pictures. Colección 5 Películas;
The Karate Kid;Blu-Ray;Pack Amaray gordo;1;Harald Zwart;2010;Acción. Drama | Remake. Artes marciales. Karate;Distribuido por Sony. China Film Group, Columbia Pictures, Jerry Weintraub Productions, Overbrook Entertainment. Colección 5 Películas;
Dragon Ball Z: Los guerreros de plata;Blu-Ray;Coleccionista;1;Yoshihiro Ueda;1993;Animación. Acción. Ciencia ficción | Manga;Selecta Visión. 9 ¡La via Láctea al límite! Un tipo súper increíble. Toei Animation;
Dragon Ball Z: ¡El dúo peligroso! Los superguerreros nunca duermen;Blu-Ray;Coleccionista;1;Shigeyasu Yamauchi;1994;Animación. Acción. Ciencia ficción. Aventuras;Selecta Visión. 10. El regreso de Broly. Toei Animation;
Dragon Ball Z: El combate definitivo;Blu-Ray;Coleccionista;1;Yoshihiro Ueda;1994;Animación. Acción. Ciencia ficción | Manga;Selecta Visión. 11. ¡Los superguerreros vencen! La victoria solamente será mía.;
Dragon Ball Z: ¡El renacer de la fusión! Goku y Vegeta;Blu-Ray;Coleccionista;1;Shigeyasu Yamauchi;1995;Animación. Acción. Ciencia ficción | Manga;Selecta Visión. 12. ¡Fusión! Bird Studio, Toei Animation.;
Dragon Ball Z: ¡La explosión del Puño del Dragón! Si Goku no puede hacerlo, ¿quién lo hará?;Blu-Ray;Coleccionista;1;Mitsuo Hashimoto;1995;Animación. Acción. Ciencia ficción | Manga;Selecta Visión. 13. El Ataque del Dragón. Bird Studio, Toei Animation;
Dragon Ball Z: La batalla de los dioses;Blu-Ray;Coleccionista;1;Masahiro Hosoda;2013;Animación. Ciencia ficción. Acción | Artes marciales.;Selecta Visión. 14.  Battle of Gods. Toei Animation, 20th Century Fox, Bandai Co;
Dragon Ball Z: La Resurrección de F;Blu-Ray;Coleccionista;1;Tadayoshi Yamamuro;2015;Animación. Acción. Ciencia ficción. Comedia | Artes marciales;Selecta Visión. 15. La resurrección de Freezer. Toei Animation, Bandai Namco Games;
Dragon Ball Z: Batalla final solitaria.  El padre del Guerrero Z Son Goku que desafió a Freeza;Blu-Ray;Coleccionista;1;Mitsuo Hashimoto;1990;Animación. Ciencia ficción. Acción | Manga. Telefilm;Selecta Visión. TV Special 1. El último combate o La batalla de Freezer contra el padre de Goku. Estrenado entre los episodios 63 y 64;
Dragon Ball Z: ¡Resistencia hasta la desesperación! Los dos superguerreros supervivientes, Gohan y Trunks;Blu-Ray;Coleccionista;1;Yoshihiro Ueda;1993;Animación. Acción. Ciencia ficción. Drama | Manga. Telefilm;Selecta Visión. TV Special 2. Un futuro diferente: Gohan y Trunks.;
Little Monsters;Blu-Ray;Amaray Amarillo;1;Abe Forsythe;2019;Comedia. Terror | Zombis. Comedia de terror;a contracorriente films. Screen Australia, Snoot Entertainment. Slip-cover y solapa con imanes. Australia. AC0953;
Fuga de Alcatraz;Blu-Ray;Sencilla;1;Don Siegel;1979;Drama. Acción | Basado en hechos reales.;Malpaso Productions, Paramount Pictures;
El sargento de hierro;Blu-Ray;Sencilla;1;Clint Eastwood;1986;Bélico. Drama. Acción | Ejército;Warner Bros., Malpaso Productions;
Los puentes de Madison;Blu-Ray;Sencilla;1;Clint Eastwood;1995;Romance. Drama | Drama romántico. Vida rural;Warner Bros., Amblin Entertainment, Malpaso Productions;
Hellboy;Blu-Ray;Sencilla;2;Guillermo del Toro;2004;Fantástico. Acción. Aventuras | Monstruos. Nazismo.;Sony Pictures Entertainment (SPE) Incluye BR de extras;
Hellboy 2: El ejército dorado;Blu-Ray;Especial;2;Guillermo del Toro;2008;Fantástico. Acción. Aventuras | Monstruos. Cómic.;Universal Pictures. Incluye BR de extras;
Heat;Blu-Ray;Sencilla;2;Michael Mann;1995;Thriller. Acción. Intriga | Robos & Atracos. Policíaco.;Warner Bros., Regency Enterprises, Forward Pass;
Nosferatu;Blu-Ray/DVD;Digibook;2;F.W. Murnau;1922;Terror | Expresionismo alemán. Cine mudo. Película de culto.;Divisa Home video. Prana-Film GmbH. Incluye DVD de extras y libro de 64 páginas. Colección origenes del cine;
La bella y la bestia;Blu-Ray;Sencilla;1;Jean Cocteau;1946;Fantástico. Romance. Drama | Cuentos;a contracorriente films. DisCina. Slip-Cover. Amaray dorado;
1864;Blu-Ray;Sencilla con funda cartón;3;Ole Bornedal;2014;Serie de TV. Drama. Bélico | Miniserie de TV.;a contracorriente films. Miso Film, Radio (DR), TV2 Norge See. Slip-case. ;
One Piece: Estampida;Blu-Ray;Amaray Rojo;1;Takashi ?tsuka;2019;Animación. Acción. Fantástico | Manga;Selecta Visión. Toei Animation;
Detective Conan: El puño de zafiro azul;Blu-Ray;Sencilla;1;Tomoka Nagaoka;2019;Animación. Intriga. Aventuras | Crimen;The Fist of Blue Sapphire. Shogakukan-Shueisha Productions, Tokyo Movie Shinsha (TMS), TOHO Animation;
Street Fighter II: La película;DVD;Sencilla;1;Gisaburô Sugii;1994;Animación. Acción | Artes marciales. Videojuego;Selecta Visión. Capcom, Group TAC, Sony Music Japan. Manga. 2003 Distribuido por The Walt Disney.;
Read or Die;DVD;Sencilla;1;Kôji Masunari;2001;Animación. Aventuras. Fantástico | Manga;Selecta Visión. 3 episodios. Studio DEEN. Aniplex. 2005. Distribuido por Universal Pictures;
Kai doh maru;DVD;Sencilla;1;Kanji Wakabayashi;2001;Animación. Aventuras. Acción | Mediometraje;Selecta Visión. (Kaidohmaru) Production I.G. Aniplex. Manga. 2004. Distribuido por Universal Pictures;
Monster House;DVD;Sencilla;1;Gil Kenan;2006;Animación. Comedia. Fantástico. Terror;Sony Pictures. Columbia Pictures. Relativity Studios, Amblin Entertainment. Audio catalán;
Dos polícias Rebeldes II;DVD;Sencilla;2;Michael Bay;2003;Acción | Secuela. Drogas. Buddy Film;Distribuido por Sony Pictures. Columbia Pictures;
El verano de Kikujiro;Blu-Ray;Sencilla;1;Takeshi Kitano;1999;Drama. Comedia | Road Movie;M3 (Mediatres estudio). Winds of Asia. Bandai Visual, Tokio FM, Nippon Herald, Office Kitano. Incluye libreto. Slip-Cover;
Gantz: Génesis (Gantz: Part 1);Blu-Ray;Digipack;1;Shinsuke Sato;2010;Fantástico. Ciencia ficción. Acción | Extraterrestres.;M3 (Mediatres estudio). Winds of Asia. Nikkatsu, Nippon TV, Shueisha, Toho. Pack con las dos peliculas. La Saga Completa. Incluye libreto;
Gantz: Perfect Answer (Gantz: Part 2);Blu-Ray;Digipack;1;Shinsuke Sato;2011;Fantástico. Acción. Ciencia ficción | Monstruos.;M3 (Mediatres estudio). Winds of Asia. Nikkatsu, Nippon TV, Shueisha, Toho. Pack con las dos peliculas. La Saga Completa. Incluye libreto;
Dolls;Blu-Ray;Sencilla;1;Takeshi Kitano;2002;Drama. Romance | Drama romántico. Historias cruzadas;M3 (Mediatres estudio). Winds of Asia. Bandai Visual, Office Kitano. Incluye libreto. Slip-Cover. Amaray dorado;
The Legend of Heroes: Trails in the Sky;DVD;Sencilla;1;Masaki Tachibana;2011;Animación. Fantástico. Aventuras | Videojuego. Miniserie de TV;Japan Weekend Anime. JoinTo. Distribuida por TEMA Distribuciones. Kinema Citrus. Miniserie de 2 OVAs. V.O. Japones;
Aura: la ultima batalla de colmillo blanco, elegido del dragón demonio;DVD;Sencilla;1;Seiji Kishi;2013;Animación. Comedia. Romance;Japan Weekend Anime. JoinTo. Distribuida por TEMA Distribuciones. AIC ASTA. V.O. Japones. Aura: Maryuinkoga Saigo no Tatakai;
El factor Eastwood;DVD;Sencilla;1;Richard Schickel;2010;Documental | Documental sobre cine;Distribuido en España por Warner Bros. Lorac Productions. V.O.S.E.;
Blade Runner 2049;Blu-Ray;Sencilla;2;Denis Villeneuve;2017;Ciencia ficción | Cyberpunk. Thriller futurista. Neo-noir.;"Distribuido por Sony Pictures. Co-production Estados Unidos-Reino Unido; Warner Bros., Scott Free Productions. Incluye BR de extras";
La cabina;DVD;Sencilla;1;Antonio Mercero;1972;Intriga. Drama. Terror | Surrealismo. Mediometraje. Telefilm;Filmoteca fnacional. Edita y distribuye Mare Films S.L. Televisión Española (TVE). Incluye libreto de 32 páginas.  Incluye mediometraje Los pajaritos. Entrevista  a Antonio Mercero 1 hora y 10 min.;
Los pajaritos;DVD;Sencilla;1;Antonio Mercero;1974;Comedia. Fantástico. Aves/Pájaros. Mediometraje;El DVD de la Cabina incluye este mediometraje. Entrevista  a Antonio Mercero 1 hora y 10 min.;
Lola;Blu-Ray;Especial;1;Jacques Demy;1961;Drama. Romance. Nouvelle vague;"a contracorriente films. Co-production Francia-Italia; Eurointer, Rome Paris Films. Amaray lila en funda de cartón y libreto de 54 págs. V.O. Frances";
Los paraguas de Cherburgo;Blu-Ray;Especial;1;Jacques Demy;1964;Musical. Romance. Drama. Años 50;"a contracorriente films. Co-production Francia-Alemania; Madeleine Films, Parc Film. Amaray en funda de cartón y libreto de 54 págs. V.O. Frances";
Las señoritas de Rochefort;Blu-Ray;Especial;1;Jacques Demy;1967;Musical. Romance. Comedia. Drama;a contracorriente films. Madeleine Films, Parc Film.  Amaray rosa en funda de cartón y libreto de 54 págs.;
Super Gran Premio;DVD;Sencilla;1;Rintaro, Nobutaka Nishizawa;1977;Serie de TV. Animación. Acción. Drama. Coches/Automovilismo;Grand Prix.  Arrow Emblem: Hawk of the Grand Prix. Producciones Naimara. Toei Animation. Serie de TV (1977-1978). 44 episodios. Es solo una pelicula de 90 min.;
La leyenda de los 10 guerreros de Tokio (Guardianes de los 5 elementos);DVD;Sencilla;1;Hikaru Takanashi, Keizo Shimizu, Noboru Ishiguro;1999;Animación;Jonu Media. Distribuidor exclusivo. SAV Editora. Kitty Film, Asahi Sonorama. Piooner. 6 OVAs de 30 minutos cada una;
Spirit of Wonder;DVD;Sencilla;1;Takashi Annô;1992;Animación. Comedia. Ciencia ficción. Aventuras. Manga;Selecta Visión.  Distribuido por Universal. Bandai Visual. Miniserie de 4 Ovas;
Magia más allá de las palabras;Blu-Ray;Limitada funda cartón;1;Paul A. Kaufman;2011;Drama | Biográfico. Literatura. Años 90. Telefilm;Gabita Barbieri. REF. 00201805. Lifetime. Edición limitada númerada 845/1000. Incluye colgante;
Suspiria;Blu-Ray;Sencilla;1;Dario Argento;1977;Terror | Sobrenatural. Casas encantadas. Brujería. Película de culto. Giallo;a contracorriente films.  Seda Spettacoli.  Amaray rojo. Slip-Cover. Europa Distribution. AC0445;
Stonewall;Blu-Ray;Sencilla;1;Roland Emmerich;2015;Drama | Histórico. Basado en hechos reales;a contracorriente films. Centropolis Entertainment, Mel's Cite du Cinema. Amaray blanco. Slip-Cover. Europa Distribution. AC0955;
Tigre y Dragón;Blu-Ray;Sencilla;1;Ang Lee;2000;Acción. Romance. Drama | Artes marciales. Wuxia. Siglo XIX;"a contracorriente films. Co-production Taiwán-China-Hong Kong-Estados Unidos; Sony Pictures Classics. Amaray negro. Slip-Cover. Europa Distribution. AC0409";
Cortocircuito;Blu-Ray;Digipack;1;John Badham;1986;Ciencia ficción. Comedia | Robots. Cine familiar;TriStar Pictures, Producers Sales Organization. Digipack con las dos peliculas. Incluye 8 postales. Edición especial limitada. 0771/1600. TS530;
Cortocircuito 2;Blu-Ray;Digipack;1;Kenneth Johnson;1988;Ciencia ficción. Comedia | Robots. Secuela;TriStar Pictures, David Foster Productions. Digipack con las dos peliculas. Incluye 8 postales. Edición especial limitada. 0771/1600. TS530;
Curso 1984;Blu-Ray;Digipack;1;Mark L. Lester;1982;Acción. Drama | Colegios & Universidad. Enseñanza.;Guerilla High Productions. Pack con las tres peliculas de curso 1984, 1999 y 199 II. Edición especial limitada y númerada 0229/1600. Incluye 8 fotocromos. TS547;
Curso de 1999;Blu-Ray;Digipack;1;Mark L. Lester;1990;Ciencia ficción. Acción | Cyberpunk. Distopía. Robots.;Lightning Pictures, Original Pictures Inc.  Pack con las tres peliculas de curso 1984, 1999 y 199 II. Edición especial limitada y númerada 0229/1600. Incluye 8 fotocromos. TS547;
Curso de 1999 II (Clase del 99 II: El sustituto);DVD;Digipack;1;Spiro Razatos;1994;Ciencia ficción. Acción | Cyberpunk. Distopía. Robots;Cinetel Films.  Pack con las tres peliculas de curso 1984, 1999 y 199 II. Edición especial limitada y númerada 0229/1600. Incluye 8 fotocromos. TS547;
El amanecer del hombre;Blu-Ray;Digipack;1;Jacques Malaterre;2007;Documental | Prehistoria. Naturaleza. Telefilm. Documental sobre Historia;Divisa Home Video. uFilms, France 2 (FR 2). TVE. Los orígenes de la humanidad. Largometraje y serie documental;
El Origen Del Hombre;DVD;Digipack;3;;2008;;Goya Producciones. Contiene 9 documentales de 30 minutos. Digipack sin funda;
Shaolin Maestro Rojo;DVD;Digipack;1;;1978;;Título Original: Hong yi la ma. Hong Kong. Shaolin Red Master. Digipack sin funda con tres peliculas. Posible Llamentol;
Exciting Dragon;DVD;Digipack;1;Richard Chiu;1985;Acción. Comedia. Fantástico | Artes marciales;"Long fa wei. Taiwán. Co-production Taiwán-Hong Kong; Sun Yah Film. Digipack sin funda con tres peliculas. Posible Llamentol";
La Furia De Shaolin;DVD;Digipack;1;Godfrey Ho;1985;Artes Marciales;Shaolin Drunken Monkey. Digipack sin funda con tres peliculas. Posible Llamentol;
El submarino (Das Boot);Blu-Ray;Sencilla;2;Wolfgang Petersen;1981;Bélico | II Guerra Mundial. Submarinos;Sony. Columbia Pictures. Bavaria Film, Radiant Film GmbH, Süddeutscher Rundfunk (SDR). Incluye BR de extras. Caja juego PS4;
Blade Runner;Blu-Ray/DVD;Especial;2;Ridley Scott;1982;Ciencia ficción. Acción | Neo-noir. Thriller futurista.;Distribuida por Walt Disney. Warner Bros., Ladd Company, Shaw Brothers. Incluye DVD de extras.  Amary azul reciclable. Montaje final;
La ciudad de las estrellas (La La Land);Blu-Ray;Sencilla;2;Damien Chazelle;2016;Musical. Romance. Comedia. Drama;Universal. Distribuido por Sony. Summit Entertainment, Gilbert Films, Impostor Pictures, Marc Platt Productions. Incluye BR de extras;
Ghost in the Shell;Blu-Ray;Sencilla;2;Rupert Sanders;2017;Ciencia ficción. Acción | Cyberpunk. Manga. Live-Action;Paramount. Distribuido por Sony. DreamWorks SKG, Grosvenor Park, Seaside Entertainment. Incluye BR de extras;
Por encima de la ley;Blu-Ray;Sencilla;1;Ryoo Seung-Wan;2015;Acción. Comedia | Crimen. Policíaco;M3 (Mediatres estudio). Winds of Asia. Filmmaker R&K. CJ Entertainment. Incluye libreto. Corea del Sur;
Un monstruo en mi puerta;Blu-Ray;Sencilla;1;July Jung;2014;Drama | Homosexualidad;M3 (Mediatres estudio). Winds of Asia. Now Films, Pine House Film. CJ Entertainment. Incluye libreto. Corea del Sur;
Zatoichi;Blu-Ray;Sencilla;1;Takeshi Kitano;2003;Acción. Comedia | Japón feudal. Siglo XIX. Samuráis. Discapacidad.;M3 (Mediatres estudio). Winds of Asia. Divisa. Office Kitano, Saito Entertainment, TV Asahi, Dentsu Inc, Tokio FM, Bandai Visual. Slip-Cover. Incluye libreto. Japón;
Hana-Bi. Flores de fuego;Blu-Ray;Sencilla;1;Takeshi Kitano;1997;Drama | Crimen. Yakuza & Triada. Policíaco.;M3 (Mediatres estudio). Winds of Asia. Bandai Visual, Office Kitano, TV Tokyo, Tokio FM. Slip-cover. Incluye libreto. Japón;
Nagasaki: Recuerdos de mi hijo;Blu-Ray;Coleccionista;1;Yôji Yamada;2015;Drama. Fantástico | Fantasmas. Familia;M3 (Mediatres estudio). Winds of Asia. Shôchiku. Incluye libro de 92 págs.;
