Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
The Warriors Los Amos de la noche;Blu-Ray;Sencilla;1;Walter Hill;1979;Acción | Crimen. Bandas/pandillas callejeras.;Paramount Pictures. Ref. 4626;Caja 1, debajo cama (2)
Romeo + Julieta de William Shakespeare;Blu-Ray;Sencilla;1;Baz Luhrmann;1996;Romance. Drama | Drama romántico;Leonardo DiCaprio. 20th Century Fox. Bazmark Films, Estudios Churubusco;Caja 3, debajo cama (1)
El ataque de los tomates asesinos;Blu-Ray;Steelbook;1;John De Bello;1978;Comedia. Terror. Ciencia ficción. Musical;Pack con las dos pelis juntas. Caja metalica con relieve. Con carton exterior. Edición limitada 1278/1500. Gravitas Ventures. Lakeshore;
El retorno de los tomates asesinos;Blu-Ray;Steelbook;1;John De Bello;1988;Terror. Ciencia ficción. Acción | Serie B;Pack con las dos pelis juntas. Caja metalica con relieve. Con carton exterior. Edición limitada 1278/1500. Gravitas Ventures. Lakeshore;
Zombies party;Blu-Ray;Pack Amaray gordo;1;Edgar Wright;2004;Comedia. Terror. Romance | Comedia de terror.;Pack con las tres peliculas. Amaray azul (Gordo). Universal. Focus Features;
Arma fatal;Blu-Ray;Pack Amaray gordo;1;Edgar Wright;2007;Comedia. Acción | Parodia. Policíaco.;Pack con las tres peliculas. Amaray azul (Gordo). Universal. Focus Features;
Bienvenidos al fin del mundo;Blu-Ray;Pack Amaray gordo;1;Edgar Wright;2013;Comedia. Ciencia ficción | Fin del mundo.;Pack con las tres peliculas. Amaray azul (Gordo). Universal. Focus Features;
Space Jam;Blu-Ray;Sencilla;1;Joe Pytka;1996;Animación. Comedia. Ciencia ficción. Fantástico.;Michael Jordan. Edición sencilla Blu-Ray. Amary azul reciclable. Warner Bros.;
Señora Doubtfire, papá de por vida;Blu-Ray;Sencilla;1;Chris Columbus;1993;Comedia. Drama | Familia. Televisión. Cine familiar.;Robin Williams. Edición sencilla Blu-Ray. Amary azul reciclable.20th Century Fox.;
La gran aventura de Winter el delfin;Blu-Ray;Sencilla;1;Charles Martin Smith;2011;Drama | Cine familiar. Amistad. Animales. Delfines. ;Morgan Freeman, Pack con las dos peliculas en dos discos. Amary azul reciclable para dos discos. Warner Bros;
La gran aventura de Winter el delfin 2;Blu-Ray;Sencilla;1;Charles Martin Smith;2014;Drama. Infantil | Cine familiar. Animales. Delfines. ;Morgan Freeman, Pack con las dos peliculas en dos discos. Amary azul reciclable para dos discos. Warner Bros;
Warcraft el origen;Blu-Ray;Sencilla;2;Duncan Jones;2016;Fantástico. Aventuras | Fantasía medieval.;Coproducción Estados Unidos-China-Canadá-Japón. Incluye disco con pelicula en 3D. Universal. Legendary;
American History X;Blu-Ray;Sencilla;1;Tony Kaye;1998;Drama | Racismo. Drama carcelario. ;Edward Norton. Edición sencilla Blu-Ray. Amaray azul reciclable.Warner Bros;
Mortal Combat;Blu-Ray;Sencilla;1;Paul W.S. Anderson;1995;Acción. Fantástico | Artes marciales. Videojuego;Pack con las dos peliculas en dos discos. Amaray azul reciclable para dos discos. Warner Bros;
Mortal Combat Aniquilación;Blu-Ray;Sencilla;1;John R. Leonetti;1997;Acción. Fantástico | Artes marciales. Videojuego;Pack con las dos peliculas en dos discos. Amaray azul reciclable para dos discos. Warner Bros;
Dogman;Blu-Ray;Amaray Negro;1;Matteo Garrone;2018;Thriller. Drama | Crimen. Drogas.;Italia. Karma Films. Con Slip Cover. Caja Amaray negra.;
El fuego de la venganza;Blu-Ray;Sencilla;1;Tony Scott;2004;Thriller. Acción. Drama | Remake. Venganza;Denzel Washington. Con Slip Cover. Amaray azul reciclable. 20th Century Fox.;
Papá Cadillac;Blu-Ray;Sencilla;1;Greg Beeman;1988;Comedia | Comedia juvenil;Ref. 4678. 20th Century Fox;Caja 1, debajo cama (2)
El Rascacielos;Blu-Ray;Sencilla;1;Rawson Marshall Thurber;2018;Acción. Thriller | Secuestros / Desapariciones.;Legendary Pictures, FPC Production, Seven Bucks Productions. Distribuidora: Universal Pictures;Caja 3, debajo cama (1)
Evasión o Victoria;Blu-Ray;Sencilla;1;John Huston;1981;Drama. Acción | II Guerra Mundial. Deporte.;Ref. TS324. Sylvester Stallone, Michael Caine, Pelé;Caja 1, debajo cama (2)
Fuga de Colditz;Blu-Ray;Sencilla;1;Stuart Orme;2005;Serie de TV. Drama. Bélico | Miniserie de TV. Histórico;Blu-Ray R. Ref. LL1868. Feel Films. Granada Television, Power, Powercorp;Caja 1, debajo cama (2)
Capitán América El Soldado de Invierno;Blu-Ray;Sencilla;1;Anthony Russo, Joe Russo;2014;Acción. Thriller | Espionaje. Superhéroes.;Marvel Studios. Distribuido por Disney;
Capitán América el Primer Vengador;Blu-Ray;Sencilla;1;Joe Johnston;2011;Acción. Fantástico | Superhéroes.;Marvel Studios. Paramount. Distribuido por Disney;
Thor Ragnarok;Blu-Ray;Sencilla;1;Taika Waititi;2017;Fantástico. Acción. Aventuras. Comedia;Marvel Studios. Paramount. Distribuido por Disney;
Thor El mundo Oscuro;Blu-Ray;Sencilla;1;Alan Taylor;2013;Fantástico. Acción. Aventuras | Mitología.;Slip Cover Dorada (Fase DOS);
Thor;Blu-Ray;Sencilla;1;Kenneth Branagh;2011;Fantástico. Acción. Aventuras | Mitología.;Slip Cover Dorada (Fase UNO);
Dirty Dancing;Blu-Ray/DVD + DVD;Digibook;3;Emile Ardolino;1987;Romance. Drama | Drama romántico.;Edición Especial Coleccionista. LionsGate. DVD Dirty Dancing Concert tour y DVD de extras. Incluye postales. 24 paginas de imágenes y tríptico;
Poesia sin fin;Blu-Ray/DVD;Digipack;2;Alejandro Jodorowsky;2016;Drama | Años 40. Biográfico;Chile. Cameo. Edición digipack de cartón. DVD más Blu-Ray más libreto escrito por Diego Moldes.;
Detective Conan 22 Zero the Enforcer;Blu-Ray/DVD;Digipack;2;Yuzuru Tachikawa;2018;Animación. Intriga | Crimen;Divisa. Alfa Pictures. Edición digipack de cartón Incluye DVD de Extras,6 adhesivos y 1 libreto. La 22 pelicula de Detective Conan;
Venganza;Blu-Ray;Pack Steelbook;1;Pierre Morel;2008;Acción. Thriller | Secuestros / Desapariciones. Venganza;Pack Blu-Ray SteelBook con la trilogía. Liam Neeson. Caja con pegatinas (Caja metalica negra), 20th Century Fox. Francia;
Venganza: Conexión Estambul;Blu-Ray;Pack Steelbook;1;Olivier Megaton;2012;Acción. Thriller | Venganza. Secuestros / Desapariciones.;Pack Blu-Ray SteelBook con la trilogía. Liam Neeson. Caja con pegatinas (Caja metalica negra), 20th Century Fox. Francia;
Venganza 3;Blu-Ray;Pack Steelbook;1;Olivier Megaton;2015;Thriller. Acción | Venganza.;Pack Blu-Ray SteelBook con la trilogía. Liam Neeson. Caja con pegatinas (Caja metalica negra), 20th Century Fox. Francia;
Train To Busan;Blu-Ray;Steelbook;2;Yeon Sang-ho;2016;Terror. Acción. Ciencia ficción. Drama.  Zombis;A Contracorriente films. Incluye dos discos Blu-Ray. Disco 2: Seoul Station. Festival de Sitges 2016;
Django Desencadenado;Blu-Ray;Steelbook;1;Quentin Tarantino;2012;Western | Drama sureño. Esclavitud. Racismo.;Sony. Columbia Pictures.  Incluye Audio catalán.;
Chappie;Blu-Ray;Steelbook;1;Neill Blomkamp;2015;Ciencia ficción. Thriller. Acción | Robots. Distopía;Sony. Columbia Pictures. Incluye Audio catalán.;
Gladiator;Blu-Ray;Steelbook;1;Ridley Scott;2000;Acción. Aventuras. Drama | Antigua Roma. Esclavitud.;Universal. 5 Óscars.;
Malditos Bastardos;Blu-Ray;Steelbook;1;Quentin Tarantino;2009;Bélico. Acción. Comedia | II Guerra Mundial. Nazismo.;Universal;
Your Name;Blu-Ray;Steelbook;2;Makoto Shinkai;2016;Animación. Drama. Romance. Fantástico;Selecta Visión. CoMix Wave Films. Incluye Blu-Ray de Extras y una postal. Toho. 20th Century Fox.  Cartón exterior con cajón donde guardar el SteelBook;
Men in Black;Blu-Ray;Sencilla con funda cartón;1;Barry Sonnenfeld;1997;Ciencia ficción. Fantástico. Comedia. Acción;Men in Black La trilogia. Con funda de Cartón. Slip-cover. Pack en Amaray azul con las tres peliculas;
Men in Black 2;Blu-Ray;Sencilla con funda cartón;1;Barry Sonnenfeld;2002;Ciencia ficción. Fantástico. Comedia. Acción;Men in Black La trilogia. Con funda de Cartón. Slip-cover. Pack en Amaray azul con las tres peliculas;
Men in Black 3;Blu-Ray;Sencilla con funda cartón;1;Barry Sonnenfeld;2012;Ciencia ficción. Comedia. Acción | Extraterrestres. ;Men in Black La trilogia. Con funda de Cartón. Slip-cover. Pack en Amaray azul con las tres peliculas;
Parasito;Blu-Ray;Digipack;2;Takashi Yamazaki;2014;Ciencia ficción | Extraterrestres. Secuela. Manga. Live-Action;M3 (Mediatres estudio). Digipack con las dos partes de Parasito (La saga completa). Incluye libreto. Winds pf Asia;
